group_id,title,description,group_type,member_count,admin_count,number_of_bots,pinned_messages,pinned_messages_timestamp,visibility
151,benefit Group,Country recognize left position marriage.,private,353.0,,,Fill music war both hotel natural power time.,2024-06-09 14:11:48,restricted
152,style Group,Program network word structure phone investment enjoy.,public,233.0,12.0,19.0,,2025-01-27 12:16:45,restricted
153,risk Group,Chair newspaper yet give approach dog finish likely.,private,775.0,4.0,37.0,,2024-08-16 17:32:56,restricted
154,imagine Group,Good discussion economic say mention far join voice.,public,330.0,9.0,,,,restricted
155,provide Group,,public,,6.0,19.0,Law act small democratic husband.,,public
156,from Group,Great protect enjoy so leg.,private,,15.0,2.0,,,public
157,again Group,House world amount past.,private,179.0,3.0,,,,public
158,across Group,Training foot student rock involve grow.,private,820.0,14.0,4.0,Nation expect building again candidate Congress.,,restricted
159,our Group,Year middle option network kitchen want.,private,943.0,13.0,5.0,,,public
160,western Group,Step audience yard blue sense ago.,public,,14.0,32.0,Unit interesting middle woman act message reveal.,,restricted
161,on Group,,private,540.0,2.0,37.0,,,public
162,contain Group,You agree million left partner play decision.,public,238.0,2.0,50.0,,,restricted
163,once Group,Need pull east.,private,308.0,4.0,2.0,,2025-01-23 00:52:04,
164,bar Group,Magazine edge hit doctor line never truth.,public,539.0,12.0,36.0,,,public
165,reduce Group,Mr single wear born hear town.,private,116.0,7.0,20.0,Next since person second from media product.,,
166,none Group,,public,125.0,13.0,32.0,,,public
167,school Group,Floor toward Congress office.,public,752.0,2.0,3.0,,,public
168,play Group,Because drug sound lay food question space peace.,private,,1.0,21.0,,2024-12-30 01:50:35,public
169,different Group,Talk every account where newspaper.,private,626.0,2.0,5.0,,2024-10-18 08:41:43,restricted
170,might Group,,public,137.0,11.0,11.0,,2024-03-27 14:39:31,public
171,building Group,Child instead treat item agency.,private,171.0,5.0,,,2024-06-05 04:38:20,public
172,quite Group,Billion figure your think must.,private,476.0,14.0,28.0,Identify hand I store worker.,,public
173,realize Group,Major use drug her usually then.,public,859.0,6.0,39.0,,,restricted
174,hand Group,Reality quite policy.,private,844.0,4.0,23.0,,,public
175,item Group,Realize wall training minute.,private,511.0,10.0,24.0,,2024-08-06 21:59:17,public
176,team Group,,private,354.0,9.0,21.0,Expert east choose candidate matter body.,2024-11-05 11:23:19,restricted
177,food Group,,private,489.0,10.0,3.0,Home run energy run doctor hour.,,restricted
178,understand Group,Color stage high.,private,685.0,2.0,41.0,Project this girl capital support detail try.,,restricted
179,billion Group,Create treatment follow reach management magazine condition though.,private,,8.0,21.0,,2024-09-16 17:11:21,restricted
180,least Group,Attention top hope and case stay.,public,151.0,5.0,,Player only north soldier because list resource hard.,,restricted
181,soon Group,Still those share see case sea visit.,public,262.0,2.0,18.0,Heavy big front peace.,,restricted
182,benefit Group,Guess health prove away pull style partner employee.,private,320.0,1.0,42.0,,,restricted
183,themselves Group,Campaign worker discussion accept let floor ball.,private,210.0,8.0,38.0,Life story poor there.,2024-04-25 18:20:52,public
184,institution Group,,public,615.0,4.0,21.0,,2024-05-20 00:29:27,public
185,north Group,Meeting student check foreign manage.,private,,3.0,,Fish someone likely election ask bed.,2024-07-29 13:58:15,public
186,agree Group,Remain everyone government player walk notice threat.,private,,6.0,22.0,Produce easy each successful.,,restricted
187,five Group,Property young still another dog either.,public,658.0,12.0,41.0,,2024-11-07 02:09:17,public
188,option Group,Time resource right its she bar.,private,83.0,9.0,25.0,,,restricted
189,learn Group,,private,773.0,12.0,45.0,Seek agency region more.,2024-08-15 00:04:23,public
190,fast Group,Say hand throw including term less commercial test.,public,930.0,15.0,19.0,This worker believe take here here quickly.,,restricted
191,analysis Group,Respond whom young process.,private,753.0,2.0,41.0,,,restricted
192,large Group,Eye one clear candidate sure standard.,private,320.0,10.0,8.0,,2024-09-02 20:47:47,restricted
193,surface Group,Forward either technology question happy.,private,690.0,5.0,47.0,,2024-12-12 16:24:34,restricted
194,up Group,On eye choice.,private,873.0,,33.0,Include trouble author executive expect tax.,2024-04-27 14:20:54,restricted
195,former Group,Director issue interest art road.,private,485.0,8.0,,,2024-09-26 14:29:58,public
196,case Group,Some stage everybody eye commercial available system.,public,280.0,4.0,32.0,Build wall bring he go mother buy.,2024-10-05 17:22:53,public
197,use Group,Morning weight first discussion popular.,private,980.0,2.0,23.0,,,public
198,source Group,,public,195.0,6.0,13.0,,2024-06-03 18:25:57,restricted
199,kind Group,Politics both create keep.,public,,11.0,49.0,,,public
200,improve Group,Low one spring.,private,364.0,7.0,14.0,,,
